site,animID,collection_date,age_class,age_cemenetum,Pregnant,calf_present,fecundity_state,fecundity,metatarsal_length,peroneus_weight,carcass_weight,protein_mass,protein_index,back_fat,kidney_fat,marrow_fat,larval_intensity,adult_intensity,total_intensity,OG_total,OG_male,OG_female,OG_prop,MM_total,MM_male,MM_female,MM_prop,TB_total,TB_male,TB_female,TB_prop,UNK_total,UNK_male,UNK_femal,UNK_prop
KS,KQ09 - 01,03/03/2009,A,10.8,Y,Y,both,2,24.6,114.9,33,12.4,0.5040,1,38.6,90.7,0,795,795,0,0,0,0,755,305,450,0.95,40,10,30,0.05,0,0,0,0
KS,KQ09 - 02,04/03/2009,A,9.8,Y,N,pregnant,1,23.7,108.5,30,11.9,0.5019,0,24.6,90.3,3500,435,3935,0,0,0,0,415,185,230,0.95,15,15,0,0.03,5,0,5,0.01
KS,KQ09 - 03,04/03/2009,A,7.8,N,Y,calf,1,25.3,84,26.3,10.1,0.3978,0,8.7,58.2,2000,1940,3940,0,0,0,0,1690,885,805,0.87,250,155,95,0.13,0,0,0,0
KS,KQ09 - 04,05/03/2009,A,2.8,Y,Y,both,2,24.7,116.5,33,12.5,0.5058,1.5,45.4,89.9,1800,225,2025,0,0,0,0,220,85,135,0.98,5,5,0,0.02,0,0,0,0
KS,KQ09 - 05,05/03/2009,A,12.8,Y,N,pregnant,1,23.9,117,35,12.5,0.5254,2,28.3,87.7,2500,310,2810,0,0,0,0,300,115,185,0.97,10,10,0,0.03,0,0,0,0
KS,KQ09 - 06,05/03/2009,A,4.8,N,Y,calf,1,25.8,99.6,31.5,11.2,0.4353,0,19.5,85.8,5900,885,6785,0,0,0,0,865,365,500,0.98,20,10,10,0.02,0,0,0,0
KS,KQ09 - 07,05/03/2009,A,11.8,N,Y,calf,1,23.9,105.1,30.5,11.6,0.4871,0,19.3,65.5,1100,705,1805,0,0,0,0,565,260,305,0.8,140,60,80,0.2,0,0,0,0
KS,KQ09 - 08,06/03/2009,A,8.8,Y,Y,both,2,25,124.4,34,13.1,0.5233,0.8,28.1,90.1,5700,835,6535,0,0,0,0,670,250,420,0.8,165,80,85,0.2,0,0,0,0
KS,KQ09 - 09,06/03/2009,A,4.8,Y,N,pregnant,1,24.4,106.9,34,11.8,0.4826,2,23.9,88.2,7700,195,7895,0,0,0,0,150,60,90,0.77,45,20,25,0.23,0,0,0,0
KS,KQ09 - 10,06/03/2009,A,11.8,Y,N,pregnant,1,25,132.3,34.5,13.7,0.5469,1.5,31,84.8,5700,380,6080,0,0,0,0,305,115,190,0.8,70,40,30,0.18,5,0,5,0.01
